name,longitude,latitude
indonesia_langkowala_agm_region_1,121.9039524246923,-4.652957567516293
indonesia_langkowala_agm_region_2,121.9677180558095,-4.614366625771139
phillippines_iponan_river_agm_region,124.4549817459968,8.322622219405861
peru_rio_inambari_channel_agm_region,-70.35325599392932,-12.99113266108179
peru_delta_agm_region,-70.49112482602878,-13.02393635368407
peru_rio_quimiri_downstream,-70.43201870918698,-13.09000923576026
peru_mazuko_agm_region,-70.31468912376218,-13.08194612030535
peru_rio_araza_agm_region,-70.7286453695795,-13.16140001934744
peru_rio_colorado_delta_agm_region,-70.60353478860962,-12.98159688617794
peru_rio_colorado_tributary_reference_region,-70.50882927305435,-12.68177993225191
peru_madre_de_dios_main_stem_agm_region,-69.60683446305067,-12.69077194463535
peru_rio_malinowski_agm_region,-69.63491287277672,-12.92144314424585
peru_rio_malinowski_middle_agm_region,-69.96116945381118,-13.02862823247564
russia_koryak_plateau,166.2466844087174,60.93618538620681
mongolia_zaamar_goldfield,104.032362,47.977316
bolivia_porco,-65.979699,-19.798141
madagascar_ilakala_agm_region,45.25975966417472,-22.71305081657409
ghana_kumasi_agm_region,-1.837442,6.02436
mozambique_manica_TSTM,32.93040585286188,-18.91334314451437
mozambique_niassa_agm_region,35.091188,-11.852876
cameroon_lom_river_betare_agm_region,14.083318,5.620260096486283
venezuela_cantarrana_agm_region,-61.793098,4.44096
suriname_suriname_river_agm_region,-55.1355103239622,5.124977237500492
french_guiana_deux_branches_agm_region_TSTM,-53.29251599999999,4.833737
indonesia_south_sumatra_lampung,105.179602,-4.975488
indonesia_poelaupandan,102.642629,-2.401441
indonesia_jambi,102.363499,-1.518779
indonesia_pakoe,101.28035,-0.164314
indonesia_west_kalimantan_melawi_agm_region,111.597436,-0.033191
brazil_kayapo_preserve_agm_region,-50.97637416286158,-7.82215986137532
columbia_antioquia_agm_region,-74.80067867848861,7.78119670917079
guinea_banankoro_agm_region,-9.281168037885656,9.182242399291521
mali_faleme_agm_region,-11.40118246344863,13.01961167627544
liberia_cestos_river_agm_region,-9.273998048199873,5.698415510700421
liberia_sigwata_agm_region,-9.279374650835763,6.636828674139238
liberia_truma_agm_region,-7.939444747903616,5.641772474493251
liberia_cavalla_river_agm_region,-7.902209564809855,6.11365028489553
cote_divoire_cavalla_river_agm_region,-8.109739296209787,6.844798454790287
mali_faleme_upper,-11.37183902102027,12.49775331538924
mali_faleme_river_diabi_agm_region,-11.09726877523375,12.46524902755922
mali_faleme_river_agm_guinea_border,-11.04232126834143,12.36438261548087
mali_fie_river_mining_region,-8.466614587759521,11.7438403934903
nigeria_diko_agm_region,7.184521368644418,9.294074093972148
nigeria_jos_tin_mining_region,8.792951908909261,9.799687770575657
drc_mizinga_agm_region,27.86112329313729,-3.354993222028817
drc_isasa_agm_region,28.18353864117037,-3.115230137214688
angola_chicapa_river_middle_agm_region,20.51645829659107,-7.663318190435064
drc_ulindi_middle_agm_region,28.00156147212282,-2.798746689906043
drc_numbi_mining_region,28.82814967981087,-1.768482204336398
drc_fizi_agm_region_TSTM,28.87949106996983,-4.16471039340052
drc_maniema_river_agm_region,28.85336430058631,-5.02832619672917
angola_chissundo_diamond_region,21.17876817071341,-7.367613668415689
angola_kwango_river_cafunfo_diamond_region,17.93908650476603,-8.767095487953927
angola_mua_senge_mining_region_TSTM,18.83115298680043,-9.538378335363353
rwanda_sebeya_river_agm_region_TSTM,29.42335396370426,-1.788488496502901
drc_lindi_river_upper_agm_region,28.78899456277532,-0.4802624359834087
drc_lindi_river_middle_agm_region,28.50368027238982,-0.1858561926485788
drc_aruwimi_river_middle_agm_region,30.2213395345268,1.59384640803648
drc_tso_river_agm_region,30.36608350162687,1.787065331746354
drc_nizi_river_agm_region,30.29958770556425,1.736854742472872
drc_nizi_river_upper_agm_region,30.29591076873412,1.905415139660134
drc_galaya_mining_region,29.99758954603816,2.086104120123405
drc_pilipili_mining_region,30.03063006528659,2.015501566785105
drc_mongbwalu_mining_region,30.06566418345122,1.893852202737117
drc_mongbwalu_dala_mining_region,30.198056248841,1.981496778219469
drc_toyo_agm_region,28.76117637890122,0.365084992550153
tanzania_songea_agm_region_TSTM,35.15973364841434,-10.72770629662301
kagunguje_agm_region_TSTM,29.163895276744,-5.501633105176738
drc_seridi_agm_region,23.68821830104847,4.315867783174657
drc_bafwabango_agm_region,27.8204790324348,1.714793191814657
drc_durba_agm_region,29.59246413300259,3.090929155925833
drc_kibali_river_upper_agm_region,30.57773924893115,2.760129729622917
drc_makoro_agm_region,29.92314021353223,3.129710792056628
vietnam_laos_border_agm_project_TSTM,107.6318714436112,15.13845855446742
laos_attapeu_agm_region,107.4743331404204,15.04664894206915
vietnam_laos_border_agm_mine,107.6323611926311,15.28946843497265
myanmar_theinkun_agm_region,99.30500445175146,11.96579368449336
myanmar_kyeingyaung_agm_region,99.18984974629007,12.0098857305036
myanmar_dathwekyauk_agm_region_TSTM,98.9831529402361,12.94868140484468
myanmar_mogok_agm_region,96.4466053162131,22.97349786210528
myanmar_chaungmagyi_river_agm_region,96.45748395369634,22.78972181524021
kyrgystan_chatkal_river_agm_region,71.48548456017029,41.98805244224545
russia_reka_zeya_mining_region_TSTM,129.1716796575012,54.82337279090873
russia_oktyabrskii_agm_region_TSTM,128.6452768739118,52.84618603513817
russia_edakuy_agm_region_TSTM,115.0153663010157,52.29873132996183
russia_novotroitsk_agm_region_TSTM,114.0963935756154,52.02859197039103
mongolia_gatsuurt_agm_region,106.6234264675483,48.6361714623883
mongolia_khuder_agm_region,107.6842743602242,49.68458884892332
mongolia_darkhan_agm_region,106.9671314910638,49.35076242093041
mongolia_tologoyt_agm_region,107.3873560716397,49.48017304721937
mongolia_dugang_upstream_agm_region,107.0794288736861,49.12004635228269
russia_zakharovo_agm_region,109.6090542891,50.41317076738302
russia_mongolia_border_agm_region,110.1264153766535,49.33486572687599
phillipines_nalisbitan_agm_region,122.6358064932796,14.10007898560882
phillipines_quiniput_agm_region_TSTM,122.1085452757605,7.158496512540033
